 word=didn't,f=160,flags=,originalFreq=132
 word=government,f=160,flags=,originalFreq=160
 word=group,f=160,flags=,originalFreq=160
 word=here,f=160,flags=,originalFreq=142
 word=home,f=160,flags=,originalFreq=160
 word=large,f=160,flags=,originalFreq=160
 word=like,f=160,flags=,originalFreq=160
 word=love,f=160,flags=,originalFreq=143
 word=music,f=160,flags=,originalFreq=160
 word=my,f=160,flags=,originalFreq=141
 word=named,f=160,flags=,originalFreq=160
 word=no,f=160,flags=,originalFreq=166
 word=often,f=160,flags=,originalFreq=160
 word=system,f=160,flags=,originalFreq=160
 word=that's,f=160,flags=,originalFreq=116
 word=three,f=160,flags=,originalFreq=168
 word=too,f=160,flags=,originalFreq=146
 word=up,f=160,flags=n,originalFreq=171
 word=us,f=160,flags=,originalFreq=134
 word=won,f=160,flags=,originalFreq=160
 word=yes,f=160,flags=,originalFreq=102
 word=you're,f=160,flags=,originalFreq=109
 word=along,f=159,flags=,originalFreq=159
 word=built,f=159,flags=,originalFreq=159
 word=career,f=159,flags=,originalFreq=159
 word=former,f=159,flags=,originalFreq=159
 word=if,f=159,flags=,originalFreq=159
 word=include,f=159,flags=,originalFreq=159
 word=left,f=159,flags=,originalFreq=159
 word=line,f=159,flags=,originalFreq=159
 word=local,f=159,flags=,originalFreq=159
 word=long,f=159,flags=,originalFreq=159
 word=off,f=159,flags=,originalFreq=159
 word=own,f=159,flags=,originalFreq=159
 word=place,f=159,flags=,originalFreq=159
 word=small,f=159,flags=,originalFreq=159
 word=still,f=159,flags=,originalFreq=159
 word=those,f=159,flags=,originalFreq=159
 word=took,f=159,flags=,originalFreq=159
 word=band,f=158,flags=,originalFreq=158
 word=due,f=158,flags=,originalFreq=158
 word=form,f=158,flags=,originalFreq=158
 word=held,f=158,flags=,originalFreq=158
 word=its,f=158,flags=,originalFreq=178
 word=last,f=158,flags=,originalFreq=158
 word=major,f=158,flags=,originalFreq=158
 word=member,f=158,flags=,originalFreq=158
 word=members,f=158,flags=,originalFreq=158
 word=much,f=158,flags=,originalFreq=158
 word=public,f=158,flags=,originalFreq=158
 word=set,f=158,flags=,originalFreq=158
 word=show,f=158,flags=,originalFreq=158
 word=single,f=158,flags=,originalFreq=158
 word=station,f=158,flags=,originalFreq=158
 word=than,f=158,flags=,originalFreq=169
 word=within,f=158,flags=,originalFreq=158
 word=won't,f=158,flags=,originalFreq=110
 word=another,f=157,flags=,originalFreq=157
 word=company,f=157,flags=,originalFreq=157
 word=death,f=157,flags=,originalFreq=157
 word=different,f=157,flags=,originalFreq=157
 word=down,f=157,flags=,originalFreq=157
 word=even,f=157,flags=,originalFreq=157
 word=five,f=157,flags=,originalFreq=157
 word=however,f=157,flags=,originalFreq=157
 word=main,f=157,flags=,originalFreq=157
 word=original,f=157,flags=,originalFreq=157
 word=published,f=157,flags=,originalFreq=157
 word=received,f=157,flags=,originalFreq=157
 word=served,f=157,flags=,originalFreq=157
 word=again,f=156,flags=,originalFreq=156
 word=become,f=156,flags=,originalFreq=156
 word=best,f=156,flags=,originalFreq=156
 word=died,f=156,flags=,originalFreq=156
 word=history,f=156,flags=,originalFreq=156
 word=included,f=156,flags=,originalFreq=156
